Data 15.03.2019    Godzina 13:47               ZBR/2003-SZYBY2

Symbol                                    IloϾ   Szer     Wys     Pow.  Grub.  Poz Zlecenie             Opis						    Kolor ramki
4/16/4/16/4 (XN)(SWS)                        1     703    1953   1.373    44    37 19/0709              Climatop XN - 44mm                                szary (RAL 9023)
44.2/14/4/14/4 (SWS)                         1     792     989   0.783    45    38 19/0709              Climatop Protect XN 44.2 Kl. P2A                  szary (RAL 9023)
4/16/4/16/4 (XN)(SWS)                        1     703     899   0.632    44    38 19/0709              Climatop XN - 44mm                                szary (RAL 9023)
4/16/4/16/4 (XN)(SWS)                        1     710    1933   1.371    44    39 19/0709              Climatop XN - 44mm                                szary (RAL 9023)
4/16/4/16/4 (XN)(SWS)                        1     710    1933   1.371    44    39 19/0709              Climatop XN - 44mm                                szary (RAL 9023)
4/16/4/16/4 (XN)(SWS)                        1     703    1933   1.359    44    40 19/0709              Climatop XN - 44mm                                szary (RAL 9023)
44.2/14/4/14/44.2(SWS)                       3    1092     759   2.486    50     1 19/0792B             Climatop Protect Ultra 44.2 Kl. P2A               szary (RAL 9023)
4/16/4/16/4 (XN)(SWS)                        3     435     804   1.048    44     1 19/0792B             Climatop XN - 44mm                                szary (RAL 9023)
4/16/4/16/4 (XN)(SWS)                        3     435     804   1.048    44     1 19/0792B             Climatop XN - 44mm                                szary (RAL 9023)
44.2/14/4/14/44.2(SWS)                       1    1092     759   0.829    50     2 19/0792B             Climatop Protect Ultra 44.2 Kl. P2A               szary (RAL 9023)
4/16/4/16/4 (XN)(SWS)                        1     435     804   0.349    44     2 19/0792B             Climatop XN - 44mm                                szary (RAL 9023)
4/16/4/16/4 (XN)(SWS)                        1     435     804   0.349    44     2 19/0792B             Climatop XN - 44mm                                szary (RAL 9023)
4/16/4/16/4 (XN)(SWS)                        1     883    1547   1.366    44     3 19/0792B             Climatop XN - 44mm                                szary (RAL 9023)
4/16/4/16/4 (XN)(SWS)                        1    1082     682   0.738    44     4 19/0792B             Climatop XN - 44mm                                szary (RAL 9023)
4/16/4/16/4 (XN)(SWS)                        1     550     693   0.381    44     5 19/0792B             Climatop XN - 44mm                                szary (RAL 9023)
4/16/4/16/4 (XN)(SWS)                        1     550     693   0.381    44     5 19/0792B             Climatop XN - 44mm                                szary (RAL 9023)
4/16/4/16/4 (XN)(SWS)                        1     430     408   0.175    44     6 19/0792B             Climatop XN - 44mm                                szary (RAL 9023)
4/16/4/16/4 (XN)(SWS)                        1     430     408   0.175    44     6 19/0792B             Climatop XN - 44mm                                szary (RAL 9023)
4/16/4 (XN)(SWS)                             1     979    1889   1.849    24     1 19/0868              Climaplus XN                                     czarny (RAL 9005)
4/16/4 (XN)(SWS)                             1    2352     409   0.962    24     1 19/0868              Climaplus XN                                     czarny (RAL 9005)
4/16/4 (XN)(SWS)                             1    1129    2039   2.302    24     1 19/0868              Climaplus XN                                     czarny (RAL 9005)
